,tweet_text,date,sentiment
28,"American Express Global Business Travel advocates three core best practices that should underpin any good #dutyofcare programme: communicate, reduce risk &amp; maximise visibility. via @CAPA_Aviation https://blueswandaily.com/duty-of-care-obligations-have-never-been-more-important-so-why-do-two-in-five-business-travellers-feel-only-somewhat-not-very-or-not-at-all-confident-that-their-employer-could-provide-immediate-hel/",2020-05-12 22:04:55+00:00,1
29,American Express,2020-05-12 21:59:50+00:00,0
30,Can't get through by phone or chat!,2020-05-12 21:48:43+00:00,0
31,"@AmericanExpress tried to get help with chat but just kept explaining my request over &amp; over. After an hour ""Jennifer"" just never came back. I've been a card holder for 12 years too! Waste of time and got no help at all!",2020-05-12 21:47:40+00:00,-1
32,American Express Amritsar Express #AatmanirbharBharat #Local #MakeInIndia #20LakhCrore,2020-05-12 21:46:59+00:00,0
33,@FlowersSend is a scam and I will be issuing a chargeback via @AmericanExpress . Thank you for ruining a great day #MothersDay #epicfail,2020-05-12 21:43:16+00:00,1
34,"Giving back @MarriottIntl @jpmorgan @AmericanExpress makes $10M in rooms available for responders, medics and launched the Community Caregiver Program for discounted rates where needed. ",2020-05-12 21:35:08+00:00,1
35,@Visa @Mastercard @AmericanExpress We demand that you Stop processing any more payments for @SeatGeek until they fully refund tickets for March and April We are sick of the runaround @CNBC @espn @MLB @NHL @NBA,2020-05-12 21:29:25+00:00,-1
36,@marcus please increase your APY to 1.60 instead of 1.30. All your competitors like @americanexpress and @HSBC have higher rates.,2020-05-12 21:19:26+00:00,1
37,"I shy away from big statements like that too, but it feels pretty accurate given my experience at Amazon, Bluehost, American Express, and others. I'm within three months of leaving my day job and I'm nearly giddy. I'm happier and it rubs off on the family.",2020-05-12 21:13:37+00:00,1
38,"@HSBC_US Shocked to be declined by you for a savings account! Clean credit record, high FICO, etc. Chat and live reps were not willing or able to help. I guess I’ll save with @marcus, @AskPurePoint, @AmericanExpress, @synchrony, @discover and others. Disappointed.",2020-05-12 21:10:00+00:00,-1
39,"@Citibank is helping us by let us to skip payment cause they can charge the interest. Payoff half your bill they will reduce your credit limit. While @AmericanExpress is helping us to skip payment, not charging any interest and helping us by reducing APR. ",2020-05-12 21:08:32+00:00,-1
40,That's a wrap on show hours for day 2 of #TRANSACTConnect - though our platform is open 24x7 for attendees to stream content and network! We start tomorrow with a keynote from @AmericanExpress at 12:30 pm ET. See you then! Not registered yet? Click here: http://ow.ly/S0te50zEpq4,2020-05-12 21:05:05+00:00,0
41,Your feedback is extremely important to us and will help American Express make the necessary enhancements so that you and other Card Members don’t experience this in the future.,2020-05-12 21:02:58+00:00,1
42,"American Express Company AMEX (AXP) price at close, 2020-05-12, is 83.13.",2020-05-12 21:01:39+00:00,0
43,"We've partnered with @AmericanExpress to provide support for small businesses because when you thrive, we all do. We stand tall for Small. We stand for you. #StandForSmall",2020-05-12 21:01:12+00:00,-1
44,Cordless is transformative.,2020-05-12 20:57:38+00:00,0
45,I love our Dyson cordless,2020-05-12 20:55:46+00:00,1
46,"@raypaxful,@paxful Thanks i will be grateful if you allow me to explain myself i was trading with this vendor an American Express gift card let me know if am at fault i open a trade with him he told me to wait after some minutes he told me to send card i sent him a front card",2020-05-12 20:54:55+00:00,1
47,"Win Be the first to welcome back HAMILTON when it reopens at any theater! Plus, win a private Zoom with Lin-Manuel Miranda and $3,000 from American Express in aid of Hispanic Federation Emergency Assistance Fund #RaiseUp https://prizeo.com/r/DN6gdw @Prizeo",2020-05-12 20:42:28+00:00,1
48,It is indeed. I cannot believe how technologically superior this is to even my old Dyson upright.,2020-05-12 20:36:26+00:00,1
49,Americanexpress,2020-05-12 20:35:37+00:00,0
50,Is that the 11?,2020-05-12 20:34:05+00:00,0
51,@Hilton and @AmericanExpress to Donate Up to 1 Million Rooms to Frontline Medical Professionals During COVID-19 Crisis Read this story and many more in @Tabletopjournal's bi-monthly #newsletter... Sign up today: http://www.tabletopjournalnewsletter.com #TabletopMatters,2020-05-12 20:20:06+00:00,1
52,American Express http://fb2-epub.site/personal-loans/american-express/,2020-05-12 20:18:13+00:00,0
53,"Fingers Crossed/Good Cause Win Be the first to welcome back HAMILTON when it reopens at any theater! Plus, win a private Zoom with Lin-Manuel Miranda and $3,000 from American Express in aid of Hispanic Federation Emergency Assistance Fund #RaiseUp https://prizeo.com/r/uS6FpE @Prizeo",2020-05-12 20:15:06+00:00,1
54,so... your getting other people to fund it all? How charitable... HealthCare workers go home and back to your own hospitals. Stop supporting this NWOattack and stop murdering people for $$and social clout. ya'll pathetic. #3 cause of death in the USA.,2020-05-12 20:11:15+00:00,1
55,Enter @jessicayflores' $75 American Express Gift Card #giveaway! #DMgiveaway #DomesticatedMe https://www.rafflecopter.com/rafl/display/d76ed8bf30/,2020-05-12 20:09:28+00:00,0
56,"AmericanExpress: johnnybhoode Hi, is there something our social customer care team AskAmex can help with? ^E",2020-05-12 20:05:43+00:00,1
57,AmericanExpress: BrianSilva78 Please call the number on the back of your Card so we can help look into this. ^E,2020-05-12 20:05:43+00:00,0
58,The good deeds continue to roll in! @AmericanExpress is working with @hilton to support healthcare workers with food donated through @WCKitchen. #TuesdayFeeling #COVIDー19,2020-05-12 20:05:18+00:00,1
59,@AmericanExpress Just spent 45 minutes on the phone with you trying to resolve a debt. Phone gets disconnected and now you have no record of my call and want to start discussions over?,2020-05-12 20:05:01+00:00,-1
60," Similar to American Express, don’t leave home without it.",2020-05-12 20:03:29+00:00,0
61,"@AmericanExpress appalling service. After reducing my limit on my gold card to $100 / month following the Lebanese crisis and just after I paid card renewal, I emailed asking to cancel ONLY IF I could get a refund. They just cancelled without ever responding + no refund. #Thieves",2020-05-12 20:02:32+00:00,-1
62,"AmericanExpress: johnnybhoode Hi, is there something our social customer care team AskAmex can help with? ^E",2020-05-12 20:02:03+00:00,1
63,AmericanExpress: BrianSilva78 Please call the number on the back of your Card so we can help look into this. ^E,2020-05-12 20:02:02+00:00,0
64,American Express paid Delta $4B for miles in 2019.,2020-05-12 20:00:06+00:00,0
65,When my daddy took my gold American Express card I was sick for weeks like wtf man,2020-05-12 19:57:08+00:00,-1
66,"Win Be the first to welcome back HAMILTON when it reopens at any theater! Plus, win a private Zoom with Lin-Manuel Miranda and $3,000 from American Express in aid of Hispanic Federation Emergency Assistance Fund #RaiseUp https://prizeo.com/r/t9hMOG @Prizeo",2020-05-12 19:54:12+00:00,1
67,"I don't accept the status quo. I do accept Visa, MasterCard, or American Express. - Stephen Colbert",2020-05-12 19:52:45+00:00,0
68,"Is keeping the minimum wage low really in the best interest of small and medium-size businesses? Using data from Forbes and American Express, historian Laurel A. Rockefeller takes on these business and finance myths head-on. https://www.audible.com/pd/American-Poverty-Audiobook/B083LCYSZZ #AmericanHistory",2020-05-12 19:48:19+00:00,1
69,I did that. Waited 2 hrs. The agent said “yep. Our policy is to turn off ALL ur cards until u pay even if ur in the COVID protection program and even if ur biz card is fine”,2020-05-12 19:45:46+00:00,1
70,"Retention offer on American Express Green Card: 15k points, no spend required! Easy win! Details: https://www.facebook.com/groups/924294511302788/permalink/1135138256885078/",2020-05-12 19:41:20+00:00,1
71,First time in 40 years of being a member that American Express issued me an immediate credit and closed the case within 60 seconds of me filing a dispute online. @ChummyTees must be a #scam. STAY CLEAR!,2020-05-12 19:41:15+00:00,1
72,"I work for a bank (not Chase). Have you tried calling a local branch, especially re:your application? They should be jumping at those. And it’s possible they could help with the support request too.",2020-05-12 19:37:49+00:00,0
73,"American Express must face claims over its anti-steering rules in California state court, after a federal judge ruled the company didn’t establish federal jurisdiction, @maevemallsup reports.",2020-05-12 19:33:07+00:00,0
74,Been ordering stuff on uber eats and Grubhub just cause @AmericanExpress picks up my tab... this isn’t an ad. I just love them,2020-05-12 19:23:48+00:00,1
75,"@euronews @SkyNewsBreak The airline company @Iberia refuses to refund its clients after cancelling their flight since April 2nd pretexting that we should contact our travel agent @AmericanExpress Travel. We did, they have never heard back from Iberia. Contact me to testify.",2020-05-12 19:16:35+00:00,0
76,"@FoxNews @BBCWorld @SkyNews The airline company @Iberia refuses to refund its clients after cancelling their flight since April 2nd pretexting that we should contact our travel agent @AmericanExpress Travel . We did, they have never heard back from Iberia. Contact me to testify.",2020-05-12 19:13:36+00:00,0
77,"AMX is the gold standard ... use them for all my business purchases, great online interface.",2020-05-12 19:13:12+00:00,1
78,Carlyle Group cancels $450 million American Express deal ,2020-05-12 19:11:45+00:00,0
79,Carlyle Group cancels $450 million American Express deal https://trib.al/yEefYlj,2020-05-12 19:09:21+00:00,0
80,@Isobar is proud to #StandForSmall @AmericanExpress &amp; is committed to helping small business owners get back to business. Join our live panel with @Merkle @iProspect @Mcgarrybowen tomorrow at 5pm EST. Register &amp; submit your questions here http://dentsuforsmallbiz.com #shopsmall,2020-05-12 19:09:07+00:00,1
81,"I firmly believe in obtaining licensed firearms, learning how to use them, and concealed carry...like American Express…don’t leave home without it...we must protect ourselves and our families...LEO is our enemy...protect and serve doesn’t apply to black people…we’re on our own",2020-05-12 19:04:51+00:00,1
82,"Hi there, thank you for reaching out to us today. As long as the routing and bank account numbers have been successfully added to the American Express online account, you should be able to process the payment through the app. Please let me know if we may further assist. ^JAD",2020-05-12 18:59:54+00:00,1
83,"Or, each citizen could receive a Government issued American Express Centurion Card with no expiration date. Then we wouldn't have to keep the silly checks and balances that always seem to ruin our fun.",2020-05-12 18:59:38+00:00,-1
84,It's @AmericanExpress. They tried once. I'll have to have them try again. It's all very disheartening.,2020-05-12 18:59:32+00:00,1
85,American express personal savings Review ,2020-05-12 18:59:12+00:00,0
86,"Hang in there man. I hope people remember ones like #amex who bailed on us when we were at our worst. I am in East TX, if there is anyway I can help you let me know.",2020-05-12 18:58:12+00:00,-1
87,Had the entire year lined up man. It would be different if I lost my business myself but when it gets ripped away. I would lick hospital floors & take my 0.02% chance of death with #COVID19 Hell I will take 10% if I can get my life back. Survived Malaria and Dengue in the Army,2020-05-12 18:55:41+00:00,0
88,"Just to express how #evil @AmexBusiness &amp; @AmericanExpress are - I called to ask for temporary relief on my personal credit card (like many folks, income has been a major issue during this time). They agreed. ",2020-05-12 18:55:32+00:00,-1
89,@quidco Trying to raise a missing cashback claim for American Express: the page is asking for an order number but I can't see anything on the emails I've received to give such a number.,2020-05-12 18:50:04+00:00,-1
90,.@AmericanExpress &amp; @HiltonHonors has recently added benefits to their co branded credit cards to help individuals during the COVID-19 pandemic. Click the link below to see our review of their credit cards. https://letsget2thepoints.com/american-express-hilton-honors-cards/ #Hilton #Amex #Travel #CreditCards,2020-05-12 18:48:06+00:00,0
91,"Win Be the first to welcome back HAMILTON when it reopens at any theater! Plus, win a private Zoom with Lin-Manuel Miranda and $3,000 from American Express in aid of Hispanic Federation Emergency Assistance Fund #RaiseUp https://prizeo.com/r/BeJjfv @Prizeo",2020-05-12 18:45:29+00:00,1
92,"In contrast to my experience w/ @Chase (which still hasn't gotten back to me about an application I submitted &gt;1 month ago or support request from &gt;1 week ago), just called @AmericanExpress and got a human in &lt;2 mins. Issue resolved. Total call time: 4 mins. Appreciate it, AmEx!",2020-05-12 18:45:01+00:00,0
93,You would have gotten much more from American Express,2020-05-12 18:43:18+00:00,1
94,But I'm fine. #amex got@HouseGOP and @HouseDemocrats stimulus so all good? @discovercard sent a letter and stopped bal. due without even asking.@bbb_us @WhiteHouse @SenTedCruz @replouiegohmert @realDonaldTrump This is why the people are still hurting. For #veterans right? #LIES,2020-05-12 18:39:45+00:00,1
95,@Iberia @Iberia_fr @Iberia_en Since 5 weeks and 10 days you do not answer my travel agent @AmericanExpress travel and refuse to refund us. Shame on you !,2020-05-12 18:37:33+00:00,0
96,"Win Be the first to welcome back HAMILTON when it reopens at any theater! Plus, win a private Zoom with Lin-Manuel Miranda and $3,000 from American Express in aid of Hispanic Federation Emergency Assistance Fund #RaiseUp https://prizeo.com/r/kOGT5J @Prizeo",2020-05-12 18:37:17+00:00,1
97,Yeah I tried that already. Your company didn't really seem to care. My small business hasn't had billable project since Nov. Spring is our busy season. Had 37 wks lined up and all canceled. Applied for EIDL on Apr2. Nothing. Finally have a 2 day project tomorrow and need supplies,2020-05-12 18:34:23+00:00,1
98,And I am sorry I have booked this ticket with you @Iberia since you don't answer to @AmericanExpress Travel since FIVE weeks the company I booked the tickets with. You keep on playing this game with thousands of clients worldwide WTF!,2020-05-12 18:28:16+00:00,-1
99,$AXP is at $84.02. So far this year American Express Company has returned -32.5%,2020-05-12 18:26:50+00:00,1
100,"@AmericanExpress , is there anyway y'all can dm me?",2020-05-12 18:24:54+00:00,0
101,Maybe picking @Aeroplan rewards for an @AmericanExpress card wasn’t the wisest choice I made in 2019.,2020-05-12 18:24:04+00:00,0
102,American Express!!,2020-05-12 18:19:56+00:00,0
103,"""It says you had some trouble with your visa?"" ""Yes, and then suddenly they accepted American Express."" Perfect delivery by the always, ALWAYS great Wilder.",2020-05-12 18:18:53+00:00,1
104,@AmericanExpress I just went through a horrible experience with you gift card organization. I will never buy another @AmericanExpress gift card. Feel free to contact me if you are interested,2020-05-12 18:13:13+00:00,-1
105,A group of us were going to make it a summer trip so she brought all our plane tickets and tickets for us on her American Express. When it was cancelled she gave us back the money. She's also waiting for the email for all the refund. Sorry!,2020-05-12 18:09:15+00:00,-1
106,I received an email today that you guys “changed our flight” when I asked to cancel it since we are no longer traveling to italy anytime soon. Please just cancel and refund it. Thank you!!!,2020-05-12 18:06:51+00:00,0
107,21 American Express Platinum Card Benefits For Travelers - https://go.shr.lc/35PRgnQ via @Shareaholic,2020-05-12 18:04:21+00:00,0
108,"""Munsingwear vacatur is particularly appropriate in this case because the district court’s decision could affect antitrust enforcement beyond the instant case due to one of its holdings regarding the Supreme Court’s opinion in Ohio v. American Express Co.""",2020-05-12 17:59:36+00:00,1
109,Maaaaaaan. I was a mf’n SUCKA when I got that American Express card back in the day. That lady told me my interest rate was 23%. ,2020-05-12 17:58:34+00:00,0
110,"MARTIN SCORSESE-for-AMERICAN EXPRESS-source: ROLLING STONE magazine June,15,2006 ",2020-05-12 17:51:31+00:00,0
111,"Win Be the first to welcome back HAMILTON when it reopens at any theater! Plus, win a private Zoom with Lin-Manuel Miranda and $3,000 from American Express in aid of Hispanic Federation Emergency Assistance Fund #RaiseUp https://prizeo.com/r/NI4XaL @Prizeo",2020-05-12 17:47:18+00:00,1
112,Gerardo Tejado of American Express Global Business Travel offers his insights into what a post-COVID-19 world will look like for travelers. @amexgbt @gtejado #traveladvisors,2020-05-12 17:45:36+00:00,1
113,Do you have the Hilton Honors American Express card? Watch the short video below to see new ways to earn points! ,2020-05-12 17:42:33+00:00,1
114,Not true,2020-05-12 17:33:55+00:00,-1
115,Shout out to American Express giving its customers $20 back if you have a streaming service!,2020-05-12 17:27:49+00:00,0
116,"Win Be the first to welcome back HAMILTON when it reopens at any theater! Plus, win a private Zoom with Lin-Manuel Miranda and $3,000 from American Express in aid of Hispanic Federation Emergency Assistance Fund #RaiseUp https://prizeo.com/r/KXA5KU @Prizeo",2020-05-12 17:11:50+00:00,1
117,"@AmericanExpress is the worst company ever!!! With all of their statements about what they are doing in support of COV-19, internally they are lowering limits to reduce exposure. All, you hear is good luck, sorry we can’t help you. Remember this moment!!",2020-05-12 17:08:56+00:00,-1
118,"Win Be the first to welcome back HAMILTON when it reopens at any theater! Plus, win a private Zoom with Lin-Manuel Miranda and $3,000 from American Express in aid of Hispanic Federation Emergency Assistance Fund #RaiseUp https://www.prizeo.com/campaigns/lin-manuel-miranda/hamilton-reopening @Prizeo",2020-05-12 17:07:59+00:00,1
119,"I recently opened an @AmericanExpress High Yield Savings account. I would prefer to use same login as credit cards, but otherwise, so far so good. http://moorewithmiles.com/2020/05/opening-an-american-express-high-yield-savings-account/",2020-05-12 17:06:42+00:00,1
120,AmericanExpress: ricklove86 Bringing in our social customer care team AskAmex to help answer your question. ^E,2020-05-12 17:05:32+00:00,1
121,AmericanExpress: ricklove86 Bringing in our social customer care team AskAmex to help answer your question. ^E,2020-05-12 17:02:10+00:00,1
122,Now use your American Express points at Audio Advisor! ,2020-05-12 17:01:35+00:00,0
123,@AmericanExpress add SeaDoo to reward shopping. I’m tryna buy a jet ski.,2020-05-12 16:57:09+00:00,0
124,21 American Express Platinum Card Benefits For Travelers - https://go.shr.lc/35PRgnQ via @Shareaholic,2020-05-12 16:56:45+00:00,0
125,hey what's up? can I get two mcdoubles and a pepsi? do you take american express? i don't have anything else on me.,2020-05-12 16:52:20+00:00,0
126,TWTR STOCK WILL BREAK 30 SOON. HEADING 40. FUNDAMENTALS ARE INTACT + REOPENING STORE WILL BRING MORE REVENUES. AXP (AMERICAN EXPRESS) IS READY TO TAKE OFF. REOPENING GOES WITH CARD EXECUTIONS. I SEE AXP BREAKING OUT 100 EVENTUALLY. BRK.B WILL BREAK 200 ..TIC TOC,2020-05-12 16:50:52+00:00,1
127,Same thing here. I can’t get a straight answer on what my available credit is. They keep denying transactions and it’s crippling my business.,2020-05-12 16:50:25+00:00,1
128,Obviously you know! Give the kids a chance! ,2020-05-12 16:47:15+00:00,0
129,"I am so honored and humbled to be a part of this great program. If you missed me talking about it last time, Isobar is proud to #StandForSmall with American Express and committed to helping small business owners get back to busines…https://lnkd.in/ezJ-Mte https://lnkd.in/eW5tqMs",2020-05-12 16:47:13+00:00,1
130,"Be the first to welcome back HAMILTON when it reopens at any theater! Plus, win a private Zoom with Lin-Manuel Miranda and $3,000 from American Express in aid of Hispanic Federation Emergency Assistance Fund #RaiseUp https://prizeo.com/r/NAMByN @Prizeo",2020-05-12 16:45:58+00:00,1
131,"If you've been holding off on getting the American Express Platinum or American Express Platinum Business Card, you don't want to wait past today.",2020-05-12 16:41:47+00:00,-1
132,Hindu want justice @UN @UNHumanRights @hrw @BBCWorld @BBCBreaking @BBCNews @BBC @bbc5live @BBCRadio4 @nytimesworld @nytimes @WSJ @WSJeurope @washingtonpost @guardian @AmericanExpress @AlJazeera @AlJazeera_World @ANI @PTI @IndianExpress @timesofindia @TheHinduMag @UNESCO,2020-05-12 16:41:40+00:00,0
133,2011 American Express 400 Presented by Menards at Potato Speedway WeatherTech Sports Cars Weekend Review,2020-05-12 16:40:33+00:00,0
134,@British_Airways I have been waiting nearly 60 days for a refund of taxes and charges. How much longer before I can ask BA American Express to refund on insurance?,2020-05-12 16:40:23+00:00,1
135,"Win Be the first to welcome back HAMILTON when it reopens at any theater! Plus, win a private Zoom with Lin-Manuel Miranda and $3,000 from American Express in aid of Hispanic Federation Emergency Assistance Fund #RaiseUp https://prizeo.com/r/NyI4Mk @Prizeo",2020-05-12 16:38:13+00:00,1
136,Hindu want justice @UN @UNHumanRights @hrw @BBCWorld @BBCBreaking @BBCNews @BBC @bbc5live @BBCR1 @BBCAfrica @WSJ @WSJeurope @nytimesworld @nytimes @washingtonpost @AlJazeera @AlJazeera_World @washingtonpost @ANI @Brand_Anuj @PTI_News @AmericanExpress @IndianExpress @timesofindia,2020-05-12 16:37:48+00:00,0
137,"@iQcreditunion so today, I got a text from American Express. We have a late fee on our card because your payment system sent our AMEX payment to the wrong place. 2nd time as this happened with the Macy's payment. 1/2",2020-05-12 16:31:37+00:00,-1
138,Here our overview of the top 3 digital banks. Congrats to all. https://bit.ly/3bnVrZ3 @americanexpress @alrajhibank @td_canada #fintech #AI #Cloud #VR Team,2020-05-12 16:31:19+00:00,1
139,"Thank you, what country is your Platinum card issued from?^Meg",2020-05-12 16:23:35+00:00,0
140,We want justice. @hrw @UN @UNHumanRights @WSJ @washingtonpost @WSJeurope @WSJopinion @nytimesworld @nytimes @guardian @AlJazeera @AlJazeera_World @BBCWorld @BBCNews @BBC @BBCAfrica @ANI @PTI_News @AmericanExpress ,2020-05-12 16:22:17+00:00,0
141,"Win Be the first to welcome back HAMILTON when it reopens at any theater! Plus, win a private Zoom with Lin-Manuel Miranda and $3,000 from American Express in aid of Hispanic Federation Emergency Assistance Fund #RaiseUp https://prizeo.com/r/kIJVUe @Prizeo",2020-05-12 16:21:20+00:00,1
142,"American Express Platinum card review — now with up to $1,120 in statement credits alone (in 2020) ",2020-05-12 16:17:51+00:00,0
143,Who Can Benefit the Most from the American Express Green Card? ,2020-05-12 16:15:06+00:00,1
144,The American Ezpress Platinum Card just rolled out some great new benefits during the pandemic! https://youtu.be/kC_6IsVewV8 #COVID19 #AmericanExpress #millionairemindset,2020-05-12 16:10:48+00:00,1
145,"Are used to receive American express gift gift cards and cash cards. The cash cards can be used pretty much anywhere, but not at an ATM.",2020-05-12 16:06:22+00:00,1
146,"@AmericanExpress do the $20 statement credits for streaming and wireless stop in December, or will that be a permanent perk going forward?",2020-05-12 16:05:57+00:00,0
147,American Express Off Campus Drive 2020 | Assistant Relationship Manager | MBA/PGDM ,2020-05-12 15:59:11+00:00,0
148,Will NEVER stay at a Hilton hotel ever again! You steal from children. Them canceling their Washington DC trip was due to the pandemic. You not refunding them the total amount is just f’ing greed. You just earned yourself a lot bad karma coming your way.,2020-05-12 15:58:13+00:00,-1
149,"@BlueairUS I placed an order on 5/3 online for Two 411 units for my office. I paid with American Express. Checked with them, it was charged. I have yet to receive a confirmation No one answers the phone although the message says5/11 will resume phone service. Please help",2020-05-12 15:55:13+00:00,0
150,"#Bookmark -&gt; Proxy Monitor 2020: Voting Results are In: American Express, Eli Lilly, Goldman Sachs, and More | Manhattan Institute https://www.manhattan-institute.org/proxy-monitor-2020-voting-results-american-express-eli-lilly-goldman-sachs#.XrrGekWnKHA.twitter #ShareholderActivism @ManhattanInst",2020-05-12 15:54:35+00:00,1
151,"* We accept payment with Visa, MasterCard, American Express, Apple Pay, Android Pay and any other payment methods indicated in the App *",2020-05-12 15:54:34+00:00,-1
152,"Hi there, I would like to assist you further. What type of American Express card product do you have?^Meg",2020-05-12 15:48:49+00:00,0
